rank,book,chapter,verse,word_count,char_count,char_aggregate,word_aggregate
1,1,1,1,0,0,0,0
2,1,1,2,0,0,0,0
3,1,1,3,0,0,0,0
4,1,1,4,0,0,0,0
5,1,1,5,0,0,0,0
6,1,1,6,0,0,0,0
7,1,1,7,0,0,0,0
8,1,1,8,0,0,0,0
9,1,1,9,0,0,0,0
10,1,1,10,0,0,0,0
11,1,1,11,0,0,0,0
12,1,1,12,0,0,0,0
13,1,1,13,0,0,0,0
14,1,1,14,0,0,0,0
15,1,1,15,0,0,0,0
16,1,1,16,0,0,0,0
17,1,1,17,0,0,0,0
18,1,1,18,0,0,0,0
19,1,1,19,0,0,0,0
20,1,1,20,0,0,0,0
21,1,1,21,0,0,0,0
22,1,1,22,0,0,0,0
23,1,1,23,0,0,0,0
24,1,1,24,0,0,0,0
25,1,1,25,0,0,0,0
26,1,1,26,0,0,0,0
27,1,1,27,0,0,0,0
28,1,1,28,0,0,0,0
29,1,1,29,0,0,0,0
30,1,1,30,0,0,0,0
31,1,1,31,0,0,0,0
32,1,2,1,0,0,0,0
33,1,2,2,0,0,0,0
34,1,2,3,0,0,0,0
35,1,2,4,0,0,0,0
36,1,2,5,0,0,0,0
37,1,2,6,0,0,0,0
38,1,2,7,0,0,0,0
39,1,2,8,0,0,0,0
40,1,2,9,0,0,0,0
41,1,2,10,0,0,0,0
42,1,2,11,0,0,0,0
43,1,2,12,0,0,0,0
44,1,2,13,0,0,0,0
45,1,2,14,0,0,0,0
46,1,2,15,0,0,0,0
47,1,2,16,0,0,0,0
48,1,2,17,0,0,0,0
49,1,2,18,0,0,0,0
50,1,2,19,0,0,0,0
51,1,2,20,0,0,0,0
52,1,2,21,0,0,0,0
53,1,2,22,0,0,0,0
54,1,2,23,0,0,0,0
55,1,2,24,0,0,0,0
56,1,2,25,0,0,0,0
57,1,3,1,0,0,0,0
58,1,3,2,0,0,0,0
59,1,3,3,0,0,0,0
60,1,3,4,0,0,0,0
61,1,3,5,0,0,0,0
62,1,3,6,0,0,0,0
63,1,3,7,0,0,0,0
64,1,3,8,0,0,0,0
65,1,3,9,0,0,0,0
66,1,3,10,0,0,0,0
67,1,3,11,0,0,0,0
68,1,3,12,0,0,0,0
69,1,3,13,0,0,0,0
70,1,3,14,0,0,0,0
71,1,3,15,0,0,0,0
72,1,3,16,0,0,0,0
73,1,3,17,0,0,0,0
74,1,3,18,0,0,0,0
75,1,3,19,0,0,0,0
76,1,3,20,0,0,0,0
77,1,3,21,0,0,0,0
78,1,3,22,0,0,0,0
79,1,3,23,0,0,0,0
80,1,3,24,0,0,0,0
81,1,4,1,0,0,0,0
82,1,4,2,0,0,0,0
83,1,4,3,0,0,0,0
84,1,4,4,0,0,0,0
85,1,4,5,0,0,0,0
86,1,4,6,0,0,0,0
87,1,4,7,0,0,0,0
88,1,4,8,0,0,0,0
89,1,4,9,0,0,0,0
90,1,4,10,0,0,0,0
91,1,4,11,0,0,0,0
92,1,4,12,0,0,0,0
93,1,4,13,0,0,0,0
94,1,4,14,0,0,0,0
95,1,4,15,0,0,0,0
96,1,4,16,0,0,0,0
97,1,4,17,0,0,0,0
98,1,4,18,0,0,0,0
99,1,4,19,0,0,0,0
100,1,4,20,0,0,0,0
101,1,4,21,0,0,0,0
102,1,4,22,0,0,0,0
103,1,4,23,0,0,0,0
104,1,4,24,0,0,0,0
105,1,4,25,0,0,0,0
106,1,4,26,0,0,0,0
107,1,5,1,0,0,0,0
108,1,5,2,0,0,0,0
109,1,5,3,0,0,0,0
110,1,5,4,0,0,0,0
111,1,5,5,0,0,0,0
112,1,5,6,0,0,0,0
113,1,5,7,0,0,0,0
114,1,5,8,0,0,0,0
115,1,5,9,0,0,0,0
116,1,5,10,0,0,0,0
117,1,5,11,0,0,0,0
118,1,5,12,0,0,0,0
119,1,5,13,0,0,0,0
120,1,5,14,0,0,0,0
